批判理論	批 判 理 論
𠯦	𠯦
坑沟	坑 沟
儳道	儳 道
退居	退 居
菲列賓	菲 列 賓
少吃多餐	少 吃 多 餐
心脑血管疾病	心 脑 血 管 疾 病
被害	被 害
受伤	受 伤
小三和弦	小 三 和 弦
浿水	浿 水
帶狀皰疹	帶 狀 皰 疹
詥	詥
䒌	䒌
奮威	奮 威
俄羅斯輪盤	俄 羅 斯 輪 盤
垫底费	垫 底 费
覐	覐
龚工	龚 工
月下	月 下
外卡	外 卡
说合人	说 合 人
騷比	騷 比
落叶树	落 叶 树
錵	錵
𫍣	𫍣
類別	類 別
结肠脾曲	结 肠 脾 曲
打交仔	打 交 仔
約伯	約 伯
䆀辦	䆀 辦
多尿症	多 尿 症
丯	丯
攞景	攞 景
总胆管	总 胆 管
從善如流	從 善 如 流
少見	少 見
包辦	包 辦
金刚山	金 刚 山
拆尿尿	拆 尿 尿
魚夫	魚 夫
演示	演 示
野鸭	野 鸭
脈旺	脈 旺
死巷巷儿	死 巷 巷 儿
情义	情 义
褲頭帶	褲 頭 帶
搬起石頭打自己的腳	搬 起 石 頭 打 自 己 的 腳
别来无恙	别 来 无 恙
核潜艇	核 潜 艇
苇	苇
面炙	面 炙
腰尺	腰 尺
手殘	手 殘
鲩	鲩
雲貴高原	雲 貴 高 原
鸀	鸀
乌弋山离	乌 弋 山 离
仆役	仆 役
留种	留 种
工字铁	工 字 铁
𩝐	𩝐
淺海	淺 海
糊突	糊 突
攀親	攀 親
因为得	因 为 得
癜風	癜 風
牧畜	牧 畜
什么鬼	什 么 鬼
㡪	㡪
振動	振 動
豹子	豹 子
花捲	花 捲
先農湯	先 農 湯
纓	纓
倾吐	倾 吐
和齐	和 齐
逆黨	逆 黨
當初	當 初
啰噼	啰 噼
论说	论 说
拍拖	拍 拖
路试	路 试
化膿性鏈球菌	化 膿 性 鏈 球 菌
偏著	偏 著
共點	共 點
阿拉伯国家联盟	阿 拉 伯 国 家 联 盟
小产	小 产
升檔	升 檔
㟱	㟱
怎	怎
济南	济 南
懬	懬
谈恋爱	谈 恋 爱
擅权	擅 权
謲	謲
踱街	踱 街
瀓	瀓
被罪	被 罪
抒怀	抒 怀
䫸	䫸
乌丘	乌 丘
空洞	空 洞
忌相	忌 相
折墮	折 墮
少女風	少 女 風
浄	浄
胡楊	胡 楊
官话化	官 话 化
轻狂	轻 狂
高勾麗	高 勾 麗
鏡泊湖	鏡 泊 湖
打吊针	打 吊 针
濔迤	濔 迤
蜘	蜘
抍	抍
搶佔	搶 佔
小说家	小 说 家
饮茶	饮 茶
宿营地	宿 营 地
通航	通 航
諦	諦
大雨滂沱	大 雨 滂 沱
食福	食 福
山阳	山 阳
椤	椤
引人入胜	引 人 入 胜
火燒坪	火 燒 坪
茶垢	茶 垢
𠒿	𠒿
简语	简 语
班竹	班 竹
升天	升 天
腦膜	腦 膜
卸脸	卸 脸
地圖	地 圖
下巴兒	下 巴 兒
趁食查某	趁 食 查 某
流話子	流 話 子
面麶	面 麶
列祖	列 祖
牵牛花	牵 牛 花
荡然无存	荡 然 无 存
美膩	美 膩
計算機語言	計 算 機 語 言
𥪑	𥪑
家譜	家 譜
乌跤蠓	乌 跤 蠓
闹太套	闹 太 套
法眼	法 眼
纯洁	纯 洁
蚁	蚁
哎喲喂呀	哎 喲 喂 呀
圣保罗	圣 保 罗
胡旋	胡 旋
民间	民 间
狗母蛇	狗 母 蛇
協助自殺	協 助 自 殺
芝邑巴	芝 邑 巴
捕手	捕 手
纯化	纯 化
嚇尿	嚇 尿
分界线	分 界 线
傷人	傷 人
子孫滿堂	子 孫 滿 堂
海東	海 東
珍視	珍 視
暗间	暗 间
山泥倾泻	山 泥 倾 泻
伴彈	伴 彈
邊緣政策	邊 緣 政 策
浮滑	浮 滑
酒類	酒 類
規模經濟	規 模 經 濟
網紗	網 紗
蒲萄	蒲 萄
鴈門關	鴈 門 關
睇視	睇 視
劳动阶级	劳 动 阶 级
莖茶	莖 茶
出千	出 千
边桌	边 桌
走難	走 難
這合兒	這 合 兒
老撾	老 撾
圓舞曲	圓 舞 曲
怨天尤人	怨 天 尤 人
熱播	熱 播
松糕鞋	松 糕 鞋
骂人	骂 人
内分泌科	内 分 泌 科
按部就班	按 部 就 班
㩹	㩹
從來	從 來
波斯尼亚和黑塞哥维那	波 斯 尼 亚 和 黑 塞 哥 维 那
竇匯	竇 匯
砲艦	砲 艦
寫信	寫 信
缎	缎
完成体	完 成 体
倫巴	倫 巴
哏兒	哏 兒
白蟻	白 蟻
雁門關	雁 門 關
健美	健 美
㡸	㡸
鹘嘲	鹘 嘲
党龄	党 龄
愛稱	愛 稱
爺們	爺 們
軟盤	軟 盤
仈字	仈 字
閑聊	閑 聊
關聖帝君	關 聖 帝 君
古蹟	古 蹟
好斗	好 斗
叫雞	叫 雞
塗跤巾	塗 跤 巾
读屎片	读 屎 片
誘致	誘 致
打波	打 波
仓猝	仓 猝
歷溪	歷 溪
細故	細 故
無偌久	無 偌 久
傳染力	傳 染 力
𰁼	𰁼
桐蒿	桐 蒿
楊家坡	楊 家 坡
豐盈	豐 盈
暴力破解	暴 力 破 解
有目无珠	有 目 无 珠
萰	萰
真空包裝	真 空 包 裝
乱离	乱 离
袘	袘
不單	不 單
泥鰍魚	泥 鰍 魚
性少數	性 少 數
干净利落	干 净 利 落
記憶棒	記 憶 棒
先烈	先 烈
法罗群岛	法 罗 群 岛
护罩	护 罩
低鉀血症	低 鉀 血 症
农产	农 产
春景	春 景
小細胞肺癌	小 細 胞 肺 癌
粤剧	粤 剧
墓室	墓 室
乾道	乾 道
核威慑	核 威 慑
䳒	䳒
听得见	听 得 见
傣语	傣 语
蝸角之爭	蝸 角 之 爭
𫧃用	𫧃 用
侠客	侠 客
塗水師	塗 水 師
書函	書 函
散裝	散 裝
沙西米	沙 西 米
新四军	新 四 军
又紅又專	又 紅 又 專
东非	东 非
凝睇	凝 睇
兌換	兌 換
生理學	生 理 學
賀哈	賀 哈
一挥而就	一 挥 而 就
財源滾滾	財 源 滾 滾
反例	反 例
五脚基	五 脚 基
鏇	鏇
萬人	萬 人
毛毛	毛 毛
一下子	一 下 子
譫哆	譫 哆
㢟	㢟
上肢	上 肢
遮仔節	遮 仔 節
囡仔人	囡 仔 人
居安思危	居 安 思 危
大号	大 号
叉兒	叉 兒
群而不黨	群 而 不 黨
犟嘴	犟 嘴
离心率	离 心 率
捙拚	捙 拚
疾病头	疾 病 头
無期徒刑	無 期 徒 刑
飛洋傘	飛 洋 傘
長勢	長 勢
傻笑	傻 笑
強壯	強 壯
三胡	三 胡
𫃵	𫃵
没想到	没 想 到
风灌仔	风 灌 仔
开荤	开 荤
校注	校 注
和尚头	和 尚 头
㟳	㟳
民調	民 調
粲然	粲 然
不進則退	不 進 則 退
两江道	两 江 道
𪎒	𪎒
密钥	密 钥
土门	土 门
略為	略 為
博識	博 識
销声匿迹	销 声 匿 迹
诽	诽
自强不息	自 强 不 息
袂博假博	袂 博 假 博
弹冠相庆	弹 冠 相 庆
時鐘座	時 鐘 座
獸慾	獸 慾
线袜	线 袜
漢語拼音方案	漢 語 拼 音 方 案
生不逢時	生 不 逢 時
傳旨	傳 旨
悶頭	悶 頭
仲阳	仲 阳
石像鬼	石 像 鬼
𠛅风	𠛅 风
愛女	愛 女
倮身	倮 身
氫氧基	氫 氧 基
鯒	鯒
夾公仔機	夾 公 仔 機
缋	缋
闪念	闪 念
唉呀	唉 呀
松果腺	松 果 腺
開議	開 議
滄浪	滄 浪
網劇	網 劇
学力	学 力
大煙鬼	大 煙 鬼
转动惯量	转 动 惯 量
受雇	受 雇
交登记	交 登 记
說白	說 白
律吕谱	律 吕 谱
威令頓	威 令 頓
网眼	网 眼
梦罟	梦 罟
西洋侬	西 洋 侬
流氓	流 氓
大牙板	大 牙 板
割草機	割 草 機
攘夷	攘 夷
夹肌	夹 肌
托福	托 福
大板牙	大 板 牙
残体	残 体
斩新	斩 新
摄像	摄 像
掉隊	掉 隊
蕩覆	蕩 覆
閂鎖	閂 鎖
暗顿	暗 顿
着火	着 火
杭嘉湖平原	杭 嘉 湖 平 原
晶癖	晶 癖
朽腐	朽 腐
阿洛醣	阿 洛 醣
大營	大 營
一时半刻	一 时 半 刻
展柜	展 柜
汙跡	汙 跡
肝膽	肝 膽
安全性行爲	安 全 性 行 爲
奃	奃
㡒	㡒
竞技体操	竞 技 体 操
竹圍	竹 圍
嗌	嗌
白土粉	白 土 粉
葫芦岛	葫 芦 岛
農具	農 具
英伦银行	英 伦 银 行
虛設	虛 設
古典制约	古 典 制 约
撤换	撤 换
希求	希 求
鿫	鿫
基督新教	基 督 新 教
收綫	收 綫
旺銷	旺 銷
学生仔	学 生 仔
五子棋	五 子 棋
老年代步车	老 年 代 步 车
灵机一动	灵 机 一 动
老齡	老 齡
猛火	猛 火
理疗师	理 疗 师
犁耳	犁 耳
五島	五 島
卡伊达组织	卡 伊 达 组 织
諾厄	諾 厄
拿摩溫	拿 摩 溫
摆乌龙	摆 乌 龙
開臊	開 臊
何電	何 電
鏈條	鏈 條
夾仔	夾 仔
書單	書 單
定规	定 规
汙喏	汙 喏
ㄕ	ㄕ
足證	足 證
存死存絕	存 死 存 絕
水貨	水 貨
笙簧	笙 簧
巴哥	巴 哥
长城	长 城
壓制	壓 制
悒鬱	悒 鬱
有錯必糾	有 錯 必 糾
𱈇	𱈇
成群	成 群
䭗	䭗
主見	主 見
叫赵旺	叫 赵 旺
秦篆	秦 篆
文京	文 京
方時雨	方 時 雨
左拐	左 拐
四跤螞	四 跤 螞
嗇鬼	嗇 鬼
纹路	纹 路
有福同享，有禍同當	有 福 同 享 ， 有 禍 同 當
试谈	试 谈
話媒	話 媒
港剧	港 剧
行李箱	行 李 箱
杂交种	杂 交 种
己見	己 見
胶擦	胶 擦
汲古	汲 古
对帐单	对 帐 单
男配	男 配
丑逼	丑 逼
越池	越 池
坒	坒
菜苑	菜 苑
阉官	阉 官
不遂	不 遂
花崗岩	花 崗 岩
療瘉	療 瘉
有朝	有 朝
袂行得	袂 行 得
𤇾	𤇾
説多謝	説 多 謝
史拨尼克	史 拨 尼 克
清音	清 音
大不里士	大 不 里 士
三緘其口	三 緘 其 口
赼且	赼 且
禁忌症	禁 忌 症
攮	攮
閒晃	閒 晃
财东	财 东
神经系统	神 经 系 统
繳間	繳 間
抢饭碗	抢 饭 碗
夾道	夾 道
大蟲	大 蟲
米河	米 河
遲疑不決	遲 疑 不 決
敞篷车	敞 篷 车
結塊	結 塊
封聖	封 聖
閉孔外肌	閉 孔 外 肌
𡿺	𡿺
隐忧	隐 忧
腧穴	腧 穴
防冻	防 冻
相济	相 济
豪紳	豪 紳
仼	仼
𩰏	𩰏
虛構文學	虛 構 文 學
神馳	神 馳
奸猾	奸 猾
转运	转 运
软文	软 文
世纪	世 纪
粏仔	粏 仔
四神丸	四 神 丸
电影片	电 影 片
腳鐐	腳 鐐
框框	框 框
鼻哥窿担遮——避无可避	鼻 哥 窿 担 遮 — — 避 无 可 避
唠叨	唠 叨
泛化	泛 化
民樂	民 樂
頂夸克	頂 夸 克
魑魅	魑 魅
東躲西藏	東 躲 西 藏
二项式系数	二 项 式 系 数
声泪俱下	声 泪 俱 下
漢書	漢 書
蓼	蓼
波利尼西亞	波 利 尼 西 亞
故弄玄虚	故 弄 玄 虚
浴間仔	浴 間 仔
抠门	抠 门
嗜中性白血球	嗜 中 性 白 血 球
瞓街	瞓 街
黄酸	黄 酸
環渤海	環 渤 海
犯贱	犯 贱
兴宁	兴 宁
萎縮	萎 縮
腓尼基	腓 尼 基
六法全书	六 法 全 书
土壤學	土 壤 學
貿易風	貿 易 風
餐馆	餐 馆
聚焦	聚 焦
通财	通 财
义行	义 行
拉阿魯哇人	拉 阿 魯 哇 人
䀉	䀉
東莨菪鹼	東 莨 菪 鹼
知己知彼，百战百胜	知 己 知 彼 ， 百 战 百 胜
大板车	大 板 车
加依提勒克	加 依 提 勒 克
嵳	嵳
文藝家	文 藝 家
焪	焪
委员	委 员
𡷉	𡷉
課代表	課 代 表
荚膜	荚 膜
艺人	艺 人
枲	枲
挑担	挑 担
渴想	渴 想
狮身人面像	狮 身 人 面 像
续借	续 借
儲蓄賬戶	儲 蓄 賬 戶
牛彔	牛 彔
洋芋頭	洋 芋 頭
一只二只	一 只 二 只
满场	满 场
無紀綱	無 紀 綱
褴	褴
主张	主 张
祕本	祕 本
紀年	紀 年
歪瓜劣棗	歪 瓜 劣 棗
家庭主妇	家 庭 主 妇
抺摸	抺 摸
乌特勒支	乌 特 勒 支
姑妈	姑 妈
薰膏	薰 膏
贝斯	贝 斯
馬圈	馬 圈
正气	正 气
超對稱粒子	超 對 稱 粒 子
坟冢	坟 冢
好啉	好 啉
怨言	怨 言
藝業	藝 業
鲎勺	鲎 勺
俯視	俯 視
捱騾仔	捱 騾 仔
封蜡	封 蜡
胘	胘
瘦蜢蜢	瘦 蜢 蜢
比较语言学	比 较 语 言 学
拉瓦勒	拉 瓦 勒
多管闲事	多 管 闲 事
能指	能 指
前腸	前 腸
地方生物誌	地 方 生 物 誌
荒	荒
不动点	不 动 点
找寻	找 寻
排鼓	排 鼓
酒窖	酒 窖
喙唇皮	喙 唇 皮
河魨毒素	河 魨 毒 素
淚骨	淚 骨
阿奇黴素	阿 奇 黴 素
跨平臺	跨 平 臺
黃犬	黃 犬
時代	時 代
腐爛	腐 爛
𫤶	𫤶
火雞	火 雞
京阪	京 阪
盲动	盲 动
烏翼仔	烏 翼 仔
植物乳桿菌	植 物 乳 桿 菌
開熙	開 熙
圖牀	圖 牀
半衰期	半 衰 期
训诫	训 诫
听话	听 话
衞生棉	衞 生 棉
佳肴	佳 肴
𤗈	𤗈
义山	义 山
大有可為	大 有 可 為
雜技	雜 技
采访	采 访
元寶	元 寶
惡霸	惡 霸
烏蘭巴托	烏 蘭 巴 托
手戟仔	手 戟 仔
賽特犬	賽 特 犬
荆州	荆 州
恶实	恶 实
𫜩	𫜩
科氏力	科 氏 力
崑	崑
满腔热情	满 腔 热 情
液化	液 化
藩國	藩 國
撿生	撿 生
精品店	精 品 店
飯田	飯 田
慾火	慾 火
海鲜价	海 鲜 价
没心没肺	没 心 没 肺
爬楼	爬 楼
華南	華 南
駤	駤
蠅	蠅
混合经济	混 合 经 济
縬	縬
豹虎	豹 虎
洋車	洋 車
塞尔维亚人	塞 尔 维 亚 人
医药	医 药
壓軸	壓 軸
故态复萌	故 态 复 萌
止蚀	止 蚀
搬用	搬 用
裤管	裤 管
統稱	統 稱
紅磷	紅 磷
豆腐腦	豆 腐 腦
乖乖兒	乖 乖 兒
落話	落 話
大團結	大 團 結
赬盤	赬 盤
鹽梟	鹽 梟
楜椒	楜 椒
女掌柜的	女 掌 柜 的
遮遮掩掩	遮 遮 掩 掩
嘉靖	嘉 靖
牛鬼蛇神	牛 鬼 蛇 神
高腳蟹	高 腳 蟹
毛果芸香碱	毛 果 芸 香 碱
后晌儿	后 晌 儿
方糖	方 糖
声嘶力竭	声 嘶 力 竭
纠偏	纠 偏
驚人	驚 人
雅號	雅 號
功利化	功 利 化
胡話	胡 話
外接	外 接
掼稻	掼 稻
鎖死	鎖 死
每天	每 天
反流	反 流
顫音	顫 音
罪有應得	罪 有 應 得
掩護	掩 護
裝備	裝 備
贤哲	贤 哲
韩半岛	韩 半 岛
乒乓波	乒 乓 波
𰈍	𰈍
鞋𢵼仔	鞋 𢵼 仔
㩼	㩼
匾額	匾 額
禮拜三	禮 拜 三
厚黑學	厚 黑 學
徐羅伐	徐 羅 伐
白目	白 目
一頭	一 頭
继电器	继 电 器
入关	入 关
新廟	新 廟
行为科学	行 为 科 学
途人	途 人
錢包仔	錢 包 仔
朗道	朗 道
虱嫲	虱 嫲
传唱度	传 唱 度
橙皮	橙 皮
濜	濜
桀喙	桀 喙
懂王	懂 王
氣場	氣 場
玛祖卡	玛 祖 卡
自相矛盾	自 相 矛 盾
石頭花	石 頭 花
鑿鑿	鑿 鑿
來日	來 日
柏林	柏 林
辩护权	辩 护 权
组团	组 团
長除法	長 除 法
忽律	忽 律
發排	發 排
鞅鞅	鞅 鞅
咖啡精	咖 啡 精
移防	移 防
猎头	猎 头
评议	评 议
跳脚	跳 脚
称	称
信杯	信 杯
代作	代 作
映衰	映 衰
眞實	眞 實
水蔬	水 蔬
拨号盘	拨 号 盘
租户	租 户
朝雾	朝 雾
請移玉步	請 移 玉 步
包围	包 围
静脉注射	静 脉 注 射
刊	刊
淋巴細胞	淋 巴 細 胞
榡	榡
漒	漒
令親	令 親
趙錢孫李	趙 錢 孫 李
剁碎	剁 碎
兵戈	兵 戈
私联	私 联
供水	供 水
案板	案 板
滿口	滿 口
育民	育 民
後台老板	後 台 老 板
纹脶	纹 脶
老啮啮	老 啮 啮
借位	借 位
食蟻獸	食 蟻 獸
炭屎	炭 屎
畏聲	畏 聲
红藤	红 藤
電臺	電 臺
立體化	立 體 化
实线	实 线
𰬇	𰬇
琿春	琿 春
踎低	踎 低
加溫	加 溫
直进	直 进
達比加群	達 比 加 群
豺虎	豺 虎
初意	初 意
八帶魚	八 帶 魚
綠色長城	綠 色 長 城
剧组	剧 组
宝塚	宝 塚
波光粼粼	波 光 粼 粼
駕駛艙	駕 駛 艙
寧海	寧 海
黃粱	黃 粱
边样	边 样
𬸅	𬸅
贝书	贝 书
陰暗	陰 暗
擒擒青	擒 擒 青
长春碱	长 春 碱
阴唇	阴 唇
髋关节	髋 关 节
噶伦	噶 伦
郵寄	郵 寄
童顏	童 顏
總	總
蔼然可亲	蔼 然 可 亲
圆桌会议	圆 桌 会 议
尬	尬
酒矸	酒 矸
擺臂	擺 臂
幼稚班	幼 稚 班
增订	增 订
痌	痌
破瓜	破 瓜
槭樹	槭 樹
蘇活	蘇 活
𬭕	𬭕
快勞	快 勞
弟媳	弟 媳
督察	督 察
狼窩	狼 窩
兽人控	兽 人 控
细润	细 润
筍虡	筍 虡
打喷睡	打 喷 睡
植化素	植 化 素
字串	字 串
易卦	易 卦
偪	偪
病起	病 起
水鯤	水 鯤
解小手	解 小 手
瓣	瓣
平文	平 文
獨	獨
同位异音	同 位 异 音
披掛	披 掛
嫣头	嫣 头
好色之徒	好 色 之 徒
估	估
𠄤	𠄤
彈舌音	彈 舌 音
泰順	泰 順
落	落
食品加工机	食 品 加 工 机
慡	慡
寸寸貢	寸 寸 貢
絲織品	絲 織 品
桥脑	桥 脑
媩	媩
文采	文 采
討回公道	討 回 公 道
黄道带	黄 道 带
勃起功能障碍	勃 起 功 能 障 碍
史实性	史 实 性
纽埃	纽 埃
馬螂狂	馬 螂 狂
室内设计	室 内 设 计
舌音	舌 音
磨喙舌	磨 喙 舌
敬业	敬 业
轟擊	轟 擊
考察团	考 察 团
鸧	鸧
察里津	察 里 津
个毛	个 毛
界面	界 面
上下左右	上 下 左 右
讲唱	讲 唱
机械臂	机 械 臂
勤俭建国	勤 俭 建 国
頂晝	頂 晝
奉命	奉 命
點眼	點 眼
兇事	兇 事
汦	汦
烈山	烈 山
果凍兒	果 凍 兒
農時	農 時
歲星	歲 星
水魚	水 魚
巗	巗
雌黃	雌 黃
果子园	果 子 园
旍	旍
嗀	嗀
灯芯	灯 芯
临暗	临 暗
海鲜酱	海 鲜 酱
财务	财 务
阿伏伽德羅常量	阿 伏 伽 德 羅 常 量
觸景生情	觸 景 生 情
機頭	機 頭
勬	勬
面楂仔	面 楂 仔
欝	欝
机宜	机 宜
諞	諞
跛子	跛 子
多义	多 义
好返	好 返
西式	西 式
小三阳	小 三 阳
重脣音	重 脣 音
义校	义 校
女中豪杰	女 中 豪 杰
唬秤頭	唬 秤 頭
日烏	日 烏
𫟼	𫟼
爆疫	爆 疫
晨僵	晨 僵
乌加里特	乌 加 里 特
南汇	南 汇
風邪	風 邪
打破砂鍋問到底	打 破 砂 鍋 問 到 底
遺詔	遺 詔
坤西育	坤 西 育
京斯敦	京 斯 敦
貖	貖
个人号	个 人 号
茶艺	茶 艺
騰	騰
驮肚	驮 肚
風景綫	風 景 綫
舊貨	舊 貨
农谚	农 谚
琐罗亚斯德	琐 罗 亚 斯 德
選課	選 課
斷層掃描	斷 層 掃 描
步履维艰	步 履 维 艰
𠀂	𠀂
字條	字 條
赤腳	赤 腳
听得懂	听 得 懂
人文景观	人 文 景 观
金包銀	金 包 銀
随身碟	随 身 碟
卑謬	卑 謬
珠洲	珠 洲
論人	論 人
菸灰碟	菸 灰 碟
独创性	独 创 性
問答集	問 答 集
杭盖	杭 盖
起步	起 步
瞿	瞿
民心	民 心
無色	無 色
塱	塱
三國志演義	三 國 志 演 義
把口	把 口
空污	空 污
藥罐子	藥 罐 子
吊癀	吊 癀
指責	指 責
tōa-chí	t ō a - c h í
奇點	奇 點
畫皮	畫 皮
導管	導 管
開腔	開 腔
一言兩句	一 言 兩 句
畜牧業	畜 牧 業
廐肥	廐 肥
三十晚间子	三 十 晚 间 子
俏皮话	俏 皮 话
畮	畮
腎結石	腎 結 石
億萬富翁	億 萬 富 翁
閩菜	閩 菜
字里行间	字 里 行 间
有悖于	有 悖 于
䢈	䢈
順適	順 適
反或闸	反 或 闸
印度尼西亞共和國	印 度 尼 西 亞 共 和 國
蛇哥	蛇 哥
口腔潰瘍	口 腔 潰 瘍
裏頭	裏 頭
错漏	错 漏
夫妻肺片	夫 妻 肺 片
刈谷	刈 谷
朝鮮將棋	朝 鮮 將 棋
課金	課 金
首季	首 季
喅	喅
开机	开 机
溫存	溫 存
窘急	窘 急
煮饭的	煮 饭 的
前去年	前 去 年
罌粟籽	罌 粟 籽
黃山	黃 山
點破	點 破
三層	三 層
阿布達比	阿 布 達 比
無市	無 市
褫揭话	褫 揭 话
更始	更 始
汛地	汛 地
髦俊	髦 俊
翦滅	翦 滅
弱化	弱 化
遮係	遮 係
瘲	瘲
大卤面	大 卤 面
識得	識 得
机敏	机 敏
非刑	非 刑
塘	塘
罷是	罷 是
使目箭	使 目 箭
荏𪽴	荏 𪽴
整數分解	整 數 分 解
碰面	碰 面
举兵	举 兵
蒼峪	蒼 峪
舆论界	舆 论 界
治事	治 事
主臥	主 臥
洋鷄	洋 鷄
燈塔	燈 塔
十八年后又是一条好汉	十 八 年 后 又 是 一 条 好 汉
邦聯	邦 聯
肉食動物	肉 食 動 物
紅旗	紅 旗
範圍	範 圍
鉸鏈	鉸 鏈
腰鼓	腰 鼓
骥足	骥 足
会期	会 期
勸農	勸 農
盘点	盘 点
窟弄	窟 弄
跌声	跌 声
䄪	䄪
古晋	古 晋
鬆緊帶	鬆 緊 帶
老牌	老 牌
力學篤行	力 學 篤 行
游园会	游 园 会
革履	革 履
匹诺曹	匹 诺 曹
見稱	見 稱
協議婚姻	協 議 婚 姻
視界	視 界
栊仔内	栊 仔 内
牪	牪
毛腊肉	毛 腊 肉
跤爪	跤 爪
鮡	鮡
拟态	拟 态
蛇紋石	蛇 紋 石
𪚟	𪚟
遙控車	遙 控 車
雄辩	雄 辩
水红色	水 红 色
䰄	䰄
啕	啕
太子党	太 子 党
石斑魚	石 斑 魚
小大姐儿裁械子	小 大 姐 儿 裁 械 子
豆腐莝	豆 腐 莝
垂直平分线	垂 直 平 分 线
雪彈子	雪 彈 子
侯莫陈	侯 莫 陈
長驅直進	長 驅 直 進
胸无点墨	胸 无 点 墨
範家	範 家
丹尼索瓦人	丹 尼 索 瓦 人
北伐	北 伐
营养酵母	营 养 酵 母
人類	人 類
脱險	脱 險
克格勃	克 格 勃
秀才遇到兵——有理說不清	秀 才 遇 到 兵 — — 有 理 說 不 清
畟然	畟 然
竹树	竹 树
鷁首	鷁 首
結球甘藍	結 球 甘 藍
假惺惺	假 惺 惺
有事	有 事
动脉脂肪沉积	动 脉 脂 肪 沉 积
欷噓	欷 噓
屬實	屬 實
毫不	毫 不
复活岛	复 活 岛
保險套	保 險 套
打圞場	打 圞 場
察布	察 布
大日本帝国	大 日 本 帝 国
嚡裡頭	嚡 裡 頭
黄花闺女	黄 花 闺 女
菠萝油	菠 萝 油
固定资金	固 定 资 金
𨧀	𨧀
立等可取	立 等 可 取
㿽	㿽
酬神	酬 神
黄袍加身	黄 袍 加 身
义面	义 面
𨂝	𨂝
高爾基	高 爾 基
細胞因子	細 胞 因 子
韃靼海峽	韃 靼 海 峽
名爵	名 爵
黿魚	黿 魚
睒书	睒 书
糅	糅
魚鈎兒	魚 鈎 兒
怙恶不悛	怙 恶 不 悛
跳台	跳 台
藍	藍
仢	仢
探头	探 头
茸茸	茸 茸
戇工	戇 工
描邊	描 邊
有一搭沒一搭	有 一 搭 沒 一 搭
㟼	㟼
以鄰為壑	以 鄰 為 壑
肥膩	肥 膩
革除	革 除
帶病	帶 病
肚屎	肚 屎
实验	实 验
柑橘属	柑 橘 属
一息	一 息
歷任	歷 任
紙影仔	紙 影 仔
盜馬	盜 馬
匣子槍	匣 子 槍
安寧	安 寧
问卷	问 卷
達尼伊爾	達 尼 伊 爾
大西洋國	大 西 洋 國
福利國家	福 利 國 家
惭色	惭 色
重孙女	重 孙 女
顺口溜	顺 口 溜
隔夜𩠌	隔 夜 𩠌
见真	见 真
儜	儜
书脊	书 脊
五線	五 線
輔翼	輔 翼
喑哑	喑 哑
恩怨	恩 怨
工作人员	工 作 人 员
臊子面	臊 子 面
孕期	孕 期
毒麦	毒 麦
祸起萧墙	祸 起 萧 墙
葏	葏
算學	算 學
海滩	海 滩
㟚	㟚
公共知識分子	公 共 知 識 分 子
前因後果	前 因 後 果
𬾖	𬾖
鼉龍	鼉 龍
真真假假	真 真 假 假
亨八冷	亨 八 冷
舱外活动	舱 外 活 动
浅灰	浅 灰
排笔	排 笔
建陽	建 陽
越菜	越 菜
藍橋	藍 橋
乌蒂仔	乌 蒂 仔
豆類	豆 類
腹股沟管	腹 股 沟 管
土豪劣紳	土 豪 劣 紳
整党	整 党
䯃	䯃
代志	代 志
㽐	㽐
传颂	传 颂
肚臍帶	肚 臍 帶
讓路	讓 路
洋文	洋 文
瘦小	瘦 小
和而不同	和 而 不 同
回放	回 放
长官	长 官
添福添壽	添 福 添 壽
左手风	左 手 风
借條	借 條
请负	请 负
插水	插 水
洪山	洪 山
骨质	骨 质
性生活	性 生 活
保险金	保 险 金
樹熊猴	樹 熊 猴
贼佬	贼 佬
異說	異 說
白帶	白 帶
虎鑼	虎 鑼
足交	足 交
作穡儂	作 穡 儂
底层	底 层
黎庶	黎 庶
赤果果	赤 果 果
普蘭店	普 蘭 店
多愁善感	多 愁 善 感
嘗	嘗
𪎌	𪎌
龍湖	龍 湖
任意性	任 意 性
匆匆	匆 匆
降价	降 价
羞澀	羞 澀
浑仑	浑 仑
檢查員	檢 查 員
轻拿轻放	轻 拿 轻 放
大哥大	大 哥 大
䲼	䲼
腎單位	腎 單 位
绿豆芽	绿 豆 芽
方劑學	方 劑 學
䌶	䌶
駵	駵
划鬼脚	划 鬼 脚
鼎革	鼎 革
商数	商 数
缅甸	缅 甸
三缄其口	三 缄 其 口
乡下仔	乡 下 仔
筆力	筆 力
解乏	解 乏
暑天	暑 天
過床	過 床
白干儿	白 干 儿
板油	板 油
养蛇食鸡	养 蛇 食 鸡
黑朦	黑 朦
阿姆斯特朗	阿 姆 斯 特 朗
通俄	通 俄
膏鐧	膏 鐧
分镇	分 镇
停赛	停 赛
赤潮	赤 潮
体号	体 号
有眼无珠	有 眼 无 珠
躲	躲
京腔兒	京 腔 兒
信息員	信 息 員
鹞子	鹞 子
大盤股	大 盤 股
懷特霍斯	懷 特 霍 斯
帶皮	帶 皮
𠑻	𠑻
整黨	整 黨
足本	足 本
老少	老 少
帕果帕果	帕 果 帕 果
暴庫	暴 庫
十三經	十 三 經
考評局	考 評 局
葛逻禄	葛 逻 禄
撟中哥	撟 中 哥
㢶	㢶
